paragraph_id,volume_title,monster_type,narrative_themes,theme_descriptions,keywords,text
V04-P044,卷二·玉格,神仙志怪,天上人间、神灵传说,天上与人间的往返穿梭、关于神仙、民俗神灵的传说记载,仙、佛、道,老君西越流沙，历八十一国。乌弋、身毒为浮屠，化被三千国，有九万品戒经，汉所获大月支《复位经》是也。孔子为元宫仙，佛为三十三天仙。延宾官主所为道，在竺乾。有古先生……
V04-P045,卷二·玉格,神仙志怪,修道成仙,通过修炼得道成仙,精、佛、道、菩萨、飞行,《释老志》亦曰佛于西域得道。陶胜力言，小方诸国多奉佛，不死，服五笙精，读《夏归藏》，用之以飞行也。藏经，菩萨戒也。
V04-P047,卷二·玉格,神仙志怪,空间变幻,进入异度空间或空间变幻的经历,仙、道,太极真仙中，庄周为闱编郎。八十戒，千二百善，入洞天。二百三十戒，二千善，登山上灵官。万善，升玉清。白志见腹，名在琼简者；目有绿筋，名在金赤书者；陰一有伏骨，名在……
V04-P048,卷二·玉格,神仙志怪,鬼魂还阳、物怪变形,鬼魂返回阳间的故事、无生命物体变形为怪物或精灵,神、精、魂、魄,五藏、九宫、十二室、四支、五体、三焦、九窍、百八十机关、三百六十骨节，三万六千神随其所而居之。魂以精为根，魄以目为户。三魂可拘，七魄可制。庚申日，伏尸言人过。本……
V04-P049,卷二·玉格,神仙志怪,异物奇珍、灵物异迹,奇异物品和珍宝的记载、灵异物品、奇石异树、怪泉灵洞的记载,神、仙、精、龙、凤,仙药：钟山白胶、阆风石脑、黑河蔡瑚、太微紫麻、太极井泉、夜津日草、青津碧荻、圆丘紫柰、白水灵蛤、八天赤薤、高丘馀粮、沧浪青钱、三十六芝、龙胎醴、九鼎鱼、火枣交梨……
V04-P050,卷二·玉格,神仙志怪,鬼魂还阳、物怪变形,鬼魂返回阳间的故事、无生命物体变形为怪物或精灵,神、精、龙、魂,药草异号：丹山魂——雄黄、青要女——空青、灵华水几腴——薰陆香、北帝玄珠——消石、东华童子——青木香、五精金——阳起石、流丹白膏——胡粉、亭灵独生——鸡舌香、倒……
V04-P051,卷二·玉格,神仙志怪,法术幻术,使用法术或幻术的故事,符,图藉有符图七千章：
V04-P052,卷二·玉格,妖怪变形,形体变化、神灵传说,身体形体的各种变化、关于神仙、民俗神灵的传说记载,仙、龙、凤、变、符、变化,图藉有符图七千章：雌玉捡、四规明镜、五柱中经、飞龟帙、飞黄子经、鹿卢蹻乔经、含景图、卧引图、园芝图、木芝图、大隗新芝图、牵牛经、玉案记、玉珍记、腊成记、丹台经、……
V04-P053,卷二·玉格,神仙志怪,神灵传说,关于神仙、民俗神灵的传说记载,神、精、龙、法师、真人,老君母曰玄妙玉女。天降玄黄，气如弹丸，入口而孕。凝神琼胎宫三千七百年，赤明开运，岁在甲子，诞于扶刀。盖天西那王国，郁寥山丹玄之阿。又曰老君有胎八十年，剖左掖而生……
V04-P054,卷二·玉格,尸解变化,尸解成仙,借助尸解或其他方式脱离肉体成仙,神、尸解、魂、魄,人死形如生，足皮不青恶，目光不毁，头发尽脱，皆尸解也。白日去曰上解，夜半去曰下解，向晓、向暮谓之地下主者。太一守尸，三魂营骨，七魄卫肉，胎灵录气，所谓太阴练形也……
V04-P055,卷二·玉格,尸解变化,尸解成仙,借助尸解或其他方式脱离肉体成仙,仙、精、龙、尸解,又曰白日尸解自是仙，非尸解也。鹿皮公吞玉华而流虫出尸，王西城漱龙胎而死诀，饮琼精而扣棺。仇季子咽金液而臭彻百里，季主服霜散以潜升，而头足异处。黑狄咽虹丹而投水，……
V04-P056,卷二·玉格,神仙志怪,修道成仙,通过修炼得道成仙,仙、龙,句曲山五芝，求之者投金环二双于石间，勿顾念，必得矣。第芝名龙仙，食之为太极仙。第二芝名参成，食之为太极太夫。第三芝名燕胎，食之为正郎中。第四芝名夜光洞鼻，食之为……
V04-P057,卷二·玉格,神仙志怪,神灵传说、尸解成仙、修道成仙,关于神仙、民俗神灵的传说记载、借助尸解或其他方式脱离肉体成仙、通过修炼得道成仙,神、仙、道、尸解、真人,真人用宝剑以尸解者，蝉化之上品也。锻用七月庚申、八月辛酉日，长三尺九寸，广寸四分，厚三分半，杪九寸，名子干，字良非。青乌公入华山，四百七十岁，十二试三不过。后服……
V04-P058,卷二·玉格,神仙志怪,修道成仙,通过修炼得道成仙,道,范零子随司马季主入常山石室。石室东北角有石匮，季主戒勿开。零子思归，发之，见其家父母大小，近而不远，乃悲思，季主遂逐之。经数载，复令守一铜匮，又违戒，所见如前，……
V04-P059,卷二·玉格,事物怪变,法术幻术、修道成仙,使用法术或幻术的故事、通过修炼得道成仙,道,卫国县西南有瓜穴，冬夏常出水，望之如练，时有瓜叶出焉。相传苻秦时有李班者，颇好道术，入穴中行可三百步，廓然有宫宇，床 榻上有经书。见二人对坐，须发皓白。班前拜于……
V04-P061,卷二·玉格,神仙志怪,修道成仙,通过修炼得道成仙,道,高唐县鸣石山，岩高百余仞，人以物扣岩，声甚清越。晋太康中，逸士田宣隐于岩下，叶风霜月，常拊石自娱。每见人，着白单衣，徘徊岩上，及晓方去。宣于后令人击石，乃于岩上……
V04-P062,卷二·玉格,神仙志怪,神灵传说,关于神仙、民俗神灵的传说记载,仙,荆州利水间，有二石若阙，名曰韶石。晋永和中，有飞仙衣冠如雪，各憩一石，旬日而去。人咸见之。
V04-P063,卷二·玉格,神仙志怪,神灵传说,关于神仙、民俗神灵的传说记载,仙,贝丘西有玉女山，传云晋大始中，北海蓬球，字伯坚，入山伐木，忽觉异香，遂溯风寻之。至此山，廓然宫殿盘郁，楼台博敞。球入门窥之，见五株玉树。复稍前，有四妇人，端妙绝……
V04-P065,卷二·玉格,异域怪物,僧尼异事、佛教志异,僧尼的奇异经历、佛教相关的灵异事迹与志怪记载,仙、僧、道、龙,孙思邈尝隐终南山，与宣律和尚相接，每来往互参宗旨。时大旱，西域僧请于昆明池结坛祈雨，诏有司备香灯，凡七日，缩水数尺。忽有老人夜诣宣律和尚求救，曰：「弟子昆明池龙……
V04-P067,卷二·玉格,神仙志怪,异物奇珍、修道成仙,奇异物品和珍宝的记载、通过修炼得道成仙,道,同州司马裴沆，常说再从伯自洛中将往郑州，在路数日，晚程偶下马，觉道左有人呻吟声，因披蒿莱寻之。荆丛下见病鹤，垂翼人免朱，翅关上疮坏无毛，且异其声。忽有老人，白……
V04-P068,卷二·玉格,神仙志怪,梦兆应验、自然怪象、异闻杂录,梦中的预兆后来应验、自然界出现的奇异现象、古文叙事模式的超自然片段，以叙事标记词为特征,神、仙、精、佛、道、变、冥、魂,明经赵业贞元中选授巴州清化县令，失志成疾，恶明，不饮食四十馀日。忽觉室中雷鸣，顷有赤气如鼓，轮转至床腾上，当心而住。初觉精神游散如梦中，有朱衣平帻者引之东行。出……
V04-P069,卷二·玉格,神仙志怪,异物奇珍,奇异物品和珍宝的记载,怪、僧、道,史论在齐州时，出猎，至县界，憩兰若中。觉桃香异常，访其僧。僧不及隐，言近有人施二桃，因从经案下取出献论，大如饭碗。时饥，尽食之。核大如鸡卵，论因诘其所自，僧笑：……
V05-P071,卷二·壶史,术法幻术,法术幻术,使用法术或幻术的故事,道、罗公远,玄宗学隐形于罗公远，或衣带、或巾脚不能隐。上诘之，公远极言曰：「陛下未能脱屣天下，而以道为戏，若尽臣术，必怀玺入人家，将困于鱼服也。」玄宗怒，慢骂之。公远遂走入……
V05-P072,卷二·壶史,神仙志怪,神灵传说、异闻杂录、占卜预言,关于神仙、民俗神灵的传说记载、古文叙事模式的超自然片段，以叙事标记词为特征、通过占卜进行预言的故事,神、怪、道、魄、真人、异人、邢和璞,邢和璞偏得黄老之道，善心算，作颍陽书疏，有叩奇，旋入空，或言有草，初未尝睹。成式见山人郑昉说，崔司马者，寄居荆州，与邢有旧。崔病积年且死，心常恃于邢。崔日觉卧室……
V05-P073,卷二·壶史,神仙志怪,奇人异能,具有超常能力的人物,异人,王皎先生善他术，于数未尝言。天宝中，偶与客夜中露坐，指星月曰：「时将乱矣。」为邻人所传。时上春秋高，颇拘忌。其语为人所奏，上令密诏杀之。刑者钻其头数十方死，因破……
V05-P074,卷二·壶史,神仙志怪,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,天师、翟天师,翟天师名乾祐，峡中人。长六尺。手大尺余，每揖人，手过胸前。卧常虚枕。晚年往往言将来事。常入夔州市，大言曰：「今夕当有八人过此，可善待之。」人不之悟。其夜火焚数百……
V05-P075,卷二·壶史,神仙志怪,奇人异能,具有超常能力的人物,神、僧、道、天师、异人、翟天师,蜀有道士阳狂，俗号为灰袋，翟天师晚年弟子也。翟每戒其徒：「勿欺此人。吾所不及之。」常大雪中，衣布褐入青城山，暮投兰若，求僧寄宿，僧曰：「贫僧衲而已，天寒如此，恐……
V05-P076,卷二·壶史,神仙志怪,迷路归返、奇人异能,迷路后经历奇遇最终返回、具有超常能力的人物,道、变、异人,秀才权同休友人，元和中落第，旅游苏湖间。遇疾贫窘，走使者本村野人，雇已年矣。疾中思甘豆汤，令其取甘草，雇者久而不去，但具火汤水，秀才且意其怠于祗承。复见折树枝盈……
V05-P077,卷二·壶史,术法幻术,侠客义行、法术幻术、隐逸修行,侠客、刺客的义行故事、使用法术或幻术的故事、隐逸修行的故事,神、仙、怪、道,宝历中，荆州有卢山人，常贩桡朴石灰，往来于白氵狄南草市，时时微露奇迹，人不之测。贾人赵元卿好事，将从之游，乃频市其所货，设果茗，诈访其息利之术。卢觉，竟谓曰：「……
V05-P078,卷二·壶史,神仙志怪,隐逸修行,隐逸修行的故事,道,长庆初，山人杨隐之在郴州，常寻访道者。有唐居士，土人谓百岁人。杨谒之，因留杨止宿。及夜，呼其女曰：「可将下弦月子来。」其女遂帖月于壁上，如片纸耳。唐即起，祝之曰……
V06-P080,卷三·贝编,冥界报应,法术幻术、异物奇珍,使用法术或幻术的故事、奇异物品和珍宝的记载,道、地狱,释门三界二十八天、四洲至华藏世界、八寒八热地狱等，法自三身、五位、四果、七支至十八界、三十七道品等，入释者率能言之。今不复具，录其事尤异者。
V06-P086,卷三·贝编,妖怪变形,人兽互变,人与兽之间的变形互变,道、变、飞行,又见身光衣触如金刚，及照毗琉璃镜，不见其道。天女九退相，一皮缓，二头花散落，三赤花在道变为黄，四风吹无缕衣如人依触，五飞行意倦，六触水而浊，七取树花高不可及，八……
V06-P087,卷三·贝编,神仙志怪,天上人间,天上与人间的往返穿梭,神、鬼、龙、麒麟,色界天下石，经十万八千三百八十三年方至地。阎浮提人生三肘半至四肘，骨四十五，脉十三，身虫有毛灯真血。禅都摩虫流行血中。善色虫处粪中，令人安乐。起根虫饱则喜。欢……
V06-P089,卷三·贝编,神仙志怪,死后复活、鬼魂还阳,死后或濒死后复活、还魂的故事、鬼魂返回阳间的故事,鬼、怪、道,鋡毗罗城，战时手足断而更生，半身及道即死。鬼怪阎浮提下五百由旬，有三十六种魔罗食鬘鬼，此言九子魔。魔遮叱迦鸟，唯得食鱼，舍鹅鬼受此身。
V06-P090,卷三·贝编,冥界报应,神灵传说,关于神仙、民俗神灵的传说记载,龙、地狱,畜生有三十四亿种。龙住阎浮提者，五十七亿。龙于瞿陀尼不降浊水，西洲人食浊水则夭。单越人恶冷风，龙不发冷。弗婆提洲不作雷声，不起雷光，东洲恶也。其雷声，兜率天作歌……
V06-P091,卷三·贝编,冥界报应,鬼魂还阳、因果报应,鬼魂返回阳间的故事、善恶有报的因果故事,鬼、地狱,青出死地狱，黄出死饿鬼。赤业畜生。活地狱十六别处，下天五千年，此狱一昼夜。金刚虫瓮热黄蓝花心弥泥鱼，排筒。
V06-P092,卷三·贝编,冥界报应,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,地狱,黑绳地狱，旃荼剧，畏鹫。处合地狱，上中下苦铜汁河中身。洋如苏鹫腹火入。割刳处，坚卯炎口，夜干朱诛虫、铁蚁。泪火处，以人去陀罗灰致眼中，金葛池鼋。
V06-P093,卷三·贝编,冥界报应,其他超自然,无法归入具体叙事主题的超自然段落（兜底类别）,地狱,号叫地狱，发流火处，火末虫处，四百四痛，火厚二百肘。大号叫地狱，阔广三居赊，口生确。虫火鬓处，金舒迦色，肉泥色也。赤树鱼腹苦。
V06-P094,卷三·贝编,冥界报应,僧尼异事,僧尼的奇异经历,龙、地狱,燋热地狱，十二炎处，火生十方及饥渴火也。针风生龙口中，弥泥鱼。锅量五十由旬，沸沫高半由旬。吹下三十六亿由旬，鬘块乌处地盆虫，置之鼓牛鼓出恶声。千头龙。阿鼻十六别……
V06-P095,卷三·贝编,佛道灵异,天上人间、人兽互变、因果报应,天上与人间的往返穿梭、人与兽之间的变形互变、善恶有报的因果故事,佛、变、地狱,八寒地狱，多与常说同。凡生地狱有三种形，罪轻作人形，其次畜形，极苦无形，如肉轩、肉屏等。今佛寺中画地狱变，唯隔子狱稍如经说，其苦具悉，图人间者曾无据。旧说地狱中……
V06-P096,卷三·贝编,神仙志怪,鬼魂还阳、僧尼异事,鬼魂返回阳间的故事、僧尼的奇异经历,鬼、佛,二十八宿：昴为首，夜 行三十时，形如剃刀，姓鞞耶尼，祭用乳，属火。毕形如笠，又属木，祭用鹿肉，祭颇罗堕。觜属日，月之子，姓毗梨亻去耶尼，形如鹿头，祭用果。参属日……
V06-P097,卷三·贝编,民俗神灵,祥瑞灾异,天降祥瑞或灾异的记录,龙,龙王身光曰忧流迦，此言天狗。
V06-P098,卷三·贝编,神仙志怪,僧尼异事、物怪变形,僧尼的奇异经历、无生命物体变形为怪物或精灵,神、怪、佛,魏明帝始造白马寺。寺中悬幡，影入内，帝怪，问左右曰：「佛有何神，人敬事之？」
V06-P099,卷三·贝编,神仙志怪,修道成仙,通过修炼得道成仙,佛,乌仗那国有佛迹，随人身福寿，量有长短。
V06-P100,卷三·贝编,神仙志怪,修道成仙,通过修炼得道成仙,佛,那揭罗曷国城东塔中有佛顶骨，周二尺。欲知善恶者，以香涂印壳，其迹焕然，善恶相悉见。
V06-P101,卷三·贝编,神仙志怪,修道成仙,通过修炼得道成仙,佛,北天健驮罗国有大堵波，佛悬记，七烧七立。佛方城，玄奘言城坏已三年。
V06-P102,卷三·贝编,佛道灵异,法术幻术、修道成仙,使用法术或幻术的故事、通过修炼得道成仙,佛、菩萨,西域佛金刚座有标界铜观，自在像两躯，国人相传菩萨身没，佛法亦尽。隋末已没过胸臆矣。
V06-P103,卷三·贝编,佛道灵异,法术幻术、修道成仙,使用法术或幻术的故事、通过修炼得道成仙,佛,乾陀国头河岸有系白象树，花叶似枣，季冬方熟。相传此树灭，佛法亦灭。
V06-P104,卷三·贝编,佛道灵异,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,僧、袈裟,北朝时，徐州角成悬之北，僧尼著白布法服，时有青布袈裟者。
V06-P105,卷三·贝编,异域怪物,修道成仙,通过修炼得道成仙,佛,波斯属国有阿荼国，城北大林中有伽蓝音佛，于此听比丘著函、缚屣。函、缚，此言靴也。
V06-P106,卷三·贝编,神仙志怪,僧尼异事、修道成仙,僧尼的奇异经历、通过修炼得道成仙,僧、道,宁王宪寝疾，上命中使送医药，相望于道。僧崇疗宪稍瘳，上悦，持赐崇绯袍、鱼袋。
V06-P107,卷三·贝编,佛道灵异,僧尼异事,僧尼的奇异经历,袈裟,梁简文帝有《谢赐郁泥纳袈裟表》。
V06-P108,卷三·贝编,佛道灵异,法术幻术、修道成仙,使用法术或幻术的故事、通过修炼得道成仙,佛、道、菩萨,魏使陆操至梁，梁王坐小舆，使再拜，遣中书舍人殷炅宣旨劳问。至重云殿，引升殿。梁主着菩萨衣，北面，太子已下皆菩萨衣，侍卫如法。操西向以次立，其人悉西厢东面。一道人……
V06-P109,卷三·贝编,神仙志怪,僧尼异事、修道成仙,僧尼的奇异经历、通过修炼得道成仙,佛、僧、狐,魏李骞、崔劼至梁同泰寺，主客王克、舍人贺季友及三僧迎门引接。至浮图中，佛旁有执板笔者。僧谓骞曰：「此是尸头，专记人罪。」骞曰：「便是僧之董狐。」复入二堂，佛前有……
V06-P110,卷三·贝编,事物怪变,法术幻术,使用法术或幻术的故事,法师,卢县东有金榆山，昔朗法师令弟子至此采榆荚，诣瑕丘市易，皆化为金钱。
V06-P113,卷三·贝编,神仙志怪,僧尼异事,僧尼的奇异经历,神,历城县光政寺有磬石，形如半月，腻光若滴。扣之，声及百里。北齐时移于都内，使人击之，其声杳绝。却令归本寺，扣之，声如故。士人语曰：「磬神圣，恋光政。」
V06-P114,卷三·贝编,异域怪物,僧尼异事,僧尼的奇异经历,僧,国初，僧玄奘往五印取经，西域敬之。成式见倭国僧金刚三昧，言尝至中天，寺中多画玄奘麻ハ及匙箸，以彩云乘之，盖西域所无者。每至斋日，辄膜拜焉。
V06-P115,卷三·贝编,神仙志怪,僧尼异事,僧尼的奇异经历,僧,又言那兰陀寺僧食堂中，热际有巨蝇数万。至僧上堂时，悉自飞集于庭树。
V06-P116,卷三·贝编,神仙志怪,僧尼异事,僧尼的奇异经历,僧、万回,僧万回年二十余，貌痴不语。其兄戍辽陽，久绝音问，或传其死，其家为作斋。万回忽卷饼菇，大言曰：「兄在，我将馈之。」出门如飞，马驰不及。及暮而还，得其兄书，缄封犹湿……
V06-P117,卷三·贝编,神仙志怪,僧尼异事、异物奇珍,僧尼的奇异经历、奇异物品和珍宝的记载,僧、万回,天后任酷吏罗织，位稍隆者日别妻子。博陵王崔玄暉位望俱极，其母忧之，曰：「汝可迎万回，此僧宝志之流，可以观其举止祸福也。」及至，母垂泣作礼，兼施银匙箸双。万回忽下……
V06-P118,卷三·贝编,神仙志怪,僧尼异事,僧尼的奇异经历,神、僧、龙、不空,梵僧不空，得总持门，能役百神。玄宗敬之。岁常旱，上令祈雨，不空言：「可。过某日令祈之，必暴雨。」上乃令金刚三藏设坛请雨，连日暴雨不止，坊市有漂溺者。遽召不空，令……
V06-P119,卷三·贝编,神仙志怪,法术幻术,使用法术或幻术的故事,龙、术士、不空、罗公远,玄宗又尝召术士罗公远与不空同祈雨，互扌交功力。上俱召问之，不空曰：「臣昨焚白檀香龙。」上令左右掬庭水嗅之，果有檀香气。又与罗公远同在便殿，罗时反手搔背，不空曰：……
V06-P120,卷三·贝编,神话异兽,因果报应,善恶有报的因果故事,神、咒、不空,又邙山有大蛇，樵者常见，头若丘陵，夜常承露气。见不空，人语曰：「弟子恶报，和尚何以见度？常欲翻河水陷洛陽城，以快所居也。」不空为受戒，说苦空，且曰：「汝以瞋心受……
V06-P121,卷三·贝编,神仙志怪,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,僧、道、龙,僧行穷数，有异术。开元中，尝旱，玄宗令祈雨。行言：「当得器，上有龙状者，方可致雨。」上令于内库中遍视之，皆言不类。数日后，指古镜，鼻盘龙，喜曰：「此有真龙矣。」……
V06-P122,卷三·贝编,神仙志怪,僧尼异事,僧尼的奇异经历,僧,荆州贞元初，有狂僧善歌《河满子》，尝遇醉，伍百途辱之，令歌。僧即发声，其词皆伍百从前非慝也，伍百惊而自悔。
V06-P123,卷三·贝编,神仙志怪,僧尼异事、修道成仙,僧尼的奇异经历、通过修炼得道成仙,神、佛、僧、变,苏州贞元中有义师，状如风狂。有百姓起店十余间，义师忽运斤坏其檐，禁之不止。其人素知其神，礼曰：「弟子活计赖此。」顾曰：「尔惜乎？」乃掷斤于地而去。其夜市火，唯义……
V06-P124,卷三·贝编,神仙志怪,修道成仙,通过修炼得道成仙,佛,睿宗初生含凉殿，则天乃于殿内造佛氏，有玉像焉。及长，闲观其侧，玉像忽言：「尔后当为天子。」
V07-P129,卷四·境异,佛道灵异,祥瑞灾异、神灵传说,天降祥瑞或灾异的记录、关于神仙、民俗神灵的传说记载,神,突厥之先曰射摩舍利海神，神在阿史德窟西。射摩有神异，又海神女每日暮，以白鹿迎射摩入海，至明送出。经数十年。后部落将大猎，至夜中，海神谓射摩曰：「明日猎时，尔上代……
V07-P138,卷四·境异,佛道灵异,形体变化,身体形体的各种变化,妖、佛,孝亿国界周三千余里。在平川中，以木为栅，周十余里，栅内百姓二千余家。周国大栅五百余所。气候常暖，冬不凋落。宜羊马，无驼牛。俗性质直，好客侣。躯貌长大，褰鼻黄发，……
V07-P151,卷四·境异,神话异兽,僧尼异事、物怪变形,僧尼的奇异经历、无生命物体变形为怪物或精灵,怪、僧、菩萨,梵僧菩萨胜又言：闍婆国中有飞头者，其人目无瞳子，聚落时有一人据。《于氏志怪》：南方落民，其头能飞。其俗所祠，名曰虫落，因号落民。
V09-P158,卷四·祸兆,神仙志怪,鬼魂还阳、修道成仙,鬼魂返回阳间的故事、通过修炼得道成仙,佛、冥,杨慎矜兄弟富贵，常不自安。每诘朝礼佛像，默祈冥卫。或日，像前土榻上聚尘三堆，如冢状，慎矜恶之，且虑儿戏，命扫去。夕如初，寻而祸作。
V09-P159,卷四·祸兆,佛道灵异,妖魅惑人,妖魅运用魅惑之术迷惑凡人,怪,姜楚公常游禅定寺，京兆办局甚盛。及饮酒，座上一妓绝色，献杯整鬟，未尝见手，众怪之。有客被酒戏曰：「勿六指乎？」乃强牵视。妓随牵而倒，乃枯骸也。姜竟及祸焉。
V10-P166,卷四·物革,妖怪变形,人兽互变,人与兽之间的变形互变,僧、变,婺州僧清简，家园蔓菁，忽变为莲。
V11-P168,卷五·诡习,冥界报应,冥界游历、隐逸修行,进入冥界游历后返回的故事、隐逸修行的故事,变,于頔在襄州，尝有山人王固谒见于。于性快，见其拜伏迟缓，不甚知。书生别日游讌，不复得进，王殊怏怏。因至使院造判官曾叔政，颇礼接之。王谓曾曰：「子以相公好奇，故不远……
V12-P172,卷五·怪术,神仙志怪,僧尼异事、法术幻术,僧尼的奇异经历、使用法术或幻术的故事,僧、变、术士,大历中，荆州有术士从南来，止于陟屺寺，好酒，少有醒时。因寺中大斋会，人众数千，术士忽曰：「余有伎，可代抃瓦磕珠之欢也。」乃合彩色于器中，驔步抓目，徐祝数十言，方……
